timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454739159333839,-0.43763893153647604,-1.1278422926514462,0.0,2.3485347871124602e-19,-1.3893935824561845e-18,-1.1817859907482638e-05
1778454739179389933,-0.43763893153647604,-1.1278422926514462,0.0,4.088043028801263e-24,-1.232759386172925e-18,-2.8958816506951504e-11
1778454739189321231,-0.43763893153647604,-1.1278422926514462,0.0,2.3651447545051796e-19,-1.3743999198691326e-18,5.534388731124388e-06
1778454739199216676,-0.43763893153647604,-1.1278422926514462,0.0,4.035531645991587e-24,-1.2172328228815611e-18,1.354863100695231e-11
1778454739209223640,-0.43763893153647604,-1.1278422926514462,0.0,2.3819010603446334e-19,-1.3598770342291508e-18,8.849742773490664e-06
1778454739219184438,-0.43763893153647604,-1.1278422926514462,0.0,3.983754027853655e-24,-1.2013320127082958e-18,2.1690775333843885e-11
1778454739229258013,-0.43763893153647604,-1.1278422926514462,0.0,2.421111541775447e-19,-1.346323772890837e-18,-1.2532966336296994e-07
1778454739239182718,-0.43763893153647604,-1.1278422926514462,0.0,3.932604733574872e-24,-1.1860446816786725e-18,-3.069811945734616e-13
1778454739249233219,-0.43763893153647604,-1.1278422926514462,0.0,2.383761826793579e-19,-1.3287996293120187e-18,1.0403338870290246e-05
1778454739259187461,-0.43763893153647604,-1.1278422926514462,0.0,3.882176646904595e-24,-1.170484984673355e-18,2.551469255702109e-11
1778454739269212851,-0.43763893153647604,-1.1278422926514462,0.0,2.3675733101268873e-19,-1.3122696619196756e-18,-1.6345343840781087e-05
1778454739279199982,-0.43763893153647604,-1.1278422926514462,0.0,3.832396097170592e-24,-1.1553849159381648e-18,-4.0088540204308775e-11
1778454739289274149,-0.43763893153647604,-1.1278422926514462,0.0,2.3685124459798537e-19,-1.2972254379193899e-18,-6.835955936534366e-06
1778454739309257466,-0.43763893153647604,-1.1278422926514462,0.0,2.3463383178804765e-19,-1.2812147648925843e-18,-5.176853287962059e-06
1778454739329314302,-0.43763893153647604,-1.1278422926514462,0.0,2.3470218576488054e-19,-1.2667158100848342e-18,-1.152754842421953e-06
1778454739349336915,-0.43763893153647604,-1.1278422926514462,0.0,2.308455227289896e-19,-1.250414194092258e-18,1.108485750577454e-05
1778454739369249454,-0.43763893153647604,-1.1278422926514462,0.0,2.320583215373704e-19,-1.2363767933733107e-18,-3.245545256794645e-06
1778454739389313809,-0.43763893153647604,-1.1278422926514462,0.0,2.2821979005482283e-19,-1.2202252087887595e-18,-4.757215194346502e-07
1778454739409296311,-0.43763893153647604,-1.1278422926514462,0.0,2.248701502458902e-19,-1.2042158136393256e-18,-4.748316583186525e-07
1778454739429323165,-0.43763893153647604,-1.1278422926514462,0.0,2.22936176196469e-19,-1.1895209348676701e-18,5.743079918231048e-06
1778454739449247186,-0.43763893153647604,-1.1278422926514462,0.0,2.211926028262158e-19,-1.1749281991938023e-18,-2.563074141743566e-06
1778454739469253225,-0.43763893153647604,-1.1278422926514462,0.0,2.2017968104158415e-19,-1.160869211403266e-18,4.069243605890378e-06
1778454739489309042,-0.43763893153647604,-1.1278422926514462,0.0,2.177213258423141e-19,-1.1462120039664907e-18,5.682831391786926e-07
1778454739509362989,-0.43763893153647604,-1.1278422926514462,0.0,2.1812596114104855e-19,-1.1333231936905466e-18,1.0544166959028708e-05
1778454739529236843,-0.43763893153647604,-1.1278422926514462,0.0,2.16083174345264e-19,-1.1193796184947592e-18,3.793816179843387e-06
1778454739549243623,-0.43763893153647604,-1.1278422926514462,0.0,2.131941371484111e-19,-1.104990260531557e-18,-9.775837089808666e-06
1778454739569240366,-0.43763893153647604,-1.1278422926514462,0.0,2.1055169513984624e-19,-1.0905433040918903e-18,-1.56456271488161e-06
1778454739589297071,-0.43763893153647604,-1.1278422926514462,0.0,2.0772220587507052e-19,-1.0765729920456778e-18,4.862143438391813e-06
1778454739609244648,-0.43763893153647604,-1.1278422926514462,0.0,2.0748464753920556e-19,-1.064090658663016e-18,1.3226824061066392e-05
1778454739629170057,-0.43763893153647604,-1.1278422926514462,0.0,3.0762373587605733e-24,-9.294155494950851e-19,3.217235083789532e-11
1778454739639219392,-0.43763893153647604,-1.1278422926514462,0.0,1.938956772530625e-19,-1.0455306242347824e-18,4.658792027036904e-06
1778454739649284597,-0.43763893153647604,-1.1278422926514462,0.0,3.0367378997373707e-24,-9.162918607018466e-19,1.1409820271987418e-11
1778454739659217653,-0.43763893153647604,-1.1278422926514462,0.0,1.9296103059132547e-19,-1.0318450764609763e-18,-4.6136481222695505e-06
1778454739669245877,-0.43763893153647604,-1.1278422926514462,0.0,2.9976838584287193e-24,-9.045882510122782e-19,-1.1281044798460327e-11
1778454739679229693,-0.43763893153647604,-1.1278422926514462,0.0,1.91858827260062e-19,-1.019481301878457e-18,9.93976955621034e-06
1778454739689268490,-0.43763893153647604,-1.1278422926514462,0.0,2.9590065542468723e-24,-8.93679060020092e-19,2.4224536823851963e-11
1778454739699204380,-0.43763893153647604,-1.1278422926514462,0.0,1.8797245367384065e-19,-1.0062457034290336e-18,-2.199337789565486e-06
1778454739709199788,-0.43763893153647604,-1.1278422926514462,0.0,2.920957855495132e-24,-8.816045929808991e-19,-5.378480568192935e-12
1778454739719212938,-0.43763893153647604,-1.1278422926514462,0.0,1.852443884370644e-19,-9.925363855900802e-19,9.84964464152713e-06
1778454739729206254,-0.43763893153647604,-1.1278422926514462,0.0,2.883445984100521e-24,-8.69859347647745e-19,2.411796885251269e-11
1778454739739222903,-0.43763893153647604,-1.1278422926514462,0.0,1.8351686514049465e-19,-9.797557461139547e-19,-4.765900502257982e-07
1778454739749202274,-0.43763893153647604,-1.1278422926514462,0.0,2.8464536848862962e-24,-8.583712079339677e-19,-1.1681954798005625e-12
